y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_year
SHREECEM,HEROMOTOCO,0.01893651941560548,1.2117475853805137,0.00026412716901848276,13.139109601159733,0.9512609679478831,22,-1.9413042602017023e-14,0.0684486195907459,False,Cement,Auto,2018
HCLTECH,ICICIBANK,3.9344596455790275,0.3653103862130709,0.0003815800705668951,12.970031198783278,0.7012462178687634,21,2.0900389003260883e-14,0.05545049084501286,False,IT,Bank,2018
UPL,ULTRACEMCO,-5.534014122770255,1.4107230295698385,0.0006108160880928903,17.766146786692374,0.91352402017805,14,5.361966015226682e-15,0.10290299449120707,False,Chemicals,Cement,2018
ULTRACEMCO,HEROMOTOCO,1.1508946839470335,0.8887386645123591,0.0007213108952970536,14.333244217647655,0.9453412985991066,17,-2.4879569304218985e-14,0.0534157193250914,False,Cement,Auto,2018
ITC,SHREECEM,0.5912774529602384,0.4955571755204238,0.0007213835201207493,16.26279949961445,0.8665595590220088,22,6.199156414536614e-14,0.0633473683307154,False,Consumer,Cement,2018
HEROMOTOCO,HDFC,4.036983682742641,0.543402660411836,0.0009204379527659197,17.986441375443064,0.936732896808063,18,-2.34497900227705e-15,0.060992989368251226,False,Auto,NBFC,2018
ITC,POWERGRID,2.6372515251175823,0.5847761318112603,0.0009827505557907115,17.070996721940194,0.8811754906633273,22,-3.106274790591443e-15,0.06001110006338337,False,Consumer,Utilities,2018
SHREECEM,BPCL,5.453978892333989,0.7392191034184559,0.0010561567698058496,15.187447840909519,0.949146539162891,21,-5.53349253543332e-15,0.06987970584839816,False,Cement,Energy,2018
HDFC,JSWSTEEL,3.4988010049360727,0.7200111441531261,0.0011076351139869575,15.78349451784417,0.9654746615809284,14,-6.260717987542285e-15,0.07824431423113276,False,NBFC,Metals & Mining,2018
ULTRACEMCO,BAJFINANCE,6.050549774886982,0.30804911606700974,0.0011168742762119252,19.27852033602427,0.9298575884749546,20,-5.406609904047588e-14,0.06026907147653639,False,Cement,NBFC,2018
INDUSINDBK,GRASIM,1.3480913599473112,0.8660424893958365,0.0011794431814159561,15.306606456729108,0.9760053090006587,22,7.070652117887875e-14,0.054608693409341026,False,Bank,Cement,2018
