pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
HEROMOTOCO/EICHERMOT,2020-01-29,2020-02-03,3,1,-2.8091917784826377,-3.580859436506914,-0.026661872665889624,stop
HEROMOTOCO/EICHERMOT,2020-02-04,2020-02-06,2,1,-2.583688573096179,-3.5879338665817144,-0.03349207308306332,stop
HEROMOTOCO/EICHERMOT,2020-02-07,2020-02-20,9,1,-2.8903802436637682,-3.561559987627644,-0.02371080391340593,stop
HEROMOTOCO/EICHERMOT,2020-02-24,2020-02-27,3,1,-3.4814251179699736,-3.565319110523465,-0.006463748424480768,stop
LT/HDFC,2019-07-18,2019-09-20,42,1,-2.4458199640806826,-0.22612332663069365,0.051603257268929295,target
LT/HDFC,2019-11-14,2019-11-27,9,1,-2.2816595460656472,-3.8891705186735077,-0.04426804594128047,stop
LT/HDFC,2019-11-28,2019-11-29,1,1,-3.447513576394167,-3.642567062487287,-0.008886077216793313,stop
HCLTECH/RELIANCE,2019-04-30,2019-05-21,14,-1,2.5740615141145997,0.38883977246579304,0.07131144523171744,target
HCLTECH/RELIANCE,2019-08-08,2019-09-23,28,-1,2.0704379635144647,0.4526871990443501,0.05175413504948553,target
HCLTECH/RELIANCE,2020-01-14,2020-03-12,40,-1,2.0939979004852636,0.6393862245300382,0.046131712255645815,eow
SHREECEM/BAJAJ-AUTO,2019-05-28,2019-07-10,30,-1,2.477396677121707,3.6262390651634373,-0.04263084757524718,stop
SHREECEM/BAJAJ-AUTO,2019-07-12,2019-07-15,1,-1,3.465212219988906,3.5850825878006054,-0.008030747782222368,stop
SHREECEM/BAJAJ-AUTO,2019-08-02,2019-09-06,22,-1,3.3780227473844433,0.4374385323727164,0.09487976085730132,target
SHREECEM/BAJAJ-AUTO,2020-01-07,2020-02-24,33,-1,2.049485448357208,3.504605032329702,-0.05292969082383586,stop
SHREECEM/BAJAJ-AUTO,2020-02-26,2020-02-27,1,-1,3.48844202532733,3.738997306743222,-0.012425144289852502,stop
SHREECEM/BAJAJ-AUTO,2020-02-28,2020-03-02,1,-1,3.3531155067804828,4.136247859947802,-0.03033352223190513,stop
ULTRACEMCO/BAJAJ-AUTO,2019-05-20,2019-07-19,43,-1,2.146156847509462,3.6543562949362833,-0.04881565141832612,stop
ULTRACEMCO/BAJAJ-AUTO,2019-07-25,2019-07-29,2,-1,3.4961142212036957,3.5527584272642074,-0.005683163986040754,stop
ULTRACEMCO/BAJAJ-AUTO,2019-07-31,2019-08-21,13,-1,3.272519554275319,-0.042767634016187515,0.09451267034715231,target
ULTRACEMCO/BAJAJ-AUTO,2019-11-14,2020-01-07,37,1,-2.357972924357813,-0.33408378727057997,0.05613920123879301,target
ULTRACEMCO/SBIN,2019-10-16,2019-10-30,9,-1,2.2414475768897675,0.3694629535140654,0.06543783766733373,target
JSWSTEEL/HCLTECH,2019-03-28,2019-06-28,60,1,-2.0362099128295004,-2.0426319260135486,-0.004287092559282702,time
JSWSTEEL/HCLTECH,2019-06-28,2019-08-08,29,1,-2.0426319260135486,-3.560577504206915,-0.07589707216785584,stop
JSWSTEEL/HCLTECH,2019-08-13,2019-08-22,6,1,-3.366490546234935,-3.5816570172067212,-0.013618898475113187,stop
