y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_start
SHREECEM,HDFCBANK,-2.239605184556554,1.8573708611833855,1.2409587714463206e-06,7.933678303397234,0.985631178793433,30,3.6163899623292663e-14,0.058469684260662,False,Cement,Bank,2017-02-15
HDFCBANK,INDUSINDBK,2.2534341454302944,0.5856695899423545,1.2410059156436705e-05,8.821745384584892,0.9912142701021691,28,1.1316050976920114e-14,0.02429599074214955,True,Bank,Bank,2017-02-15
HCLTECH,CIPLA,2.8210511436789596,0.48544844359916584,8.793638113929632e-05,12.88148962985795,0.8425952117536843,22,-1.3816108750890837e-14,0.057506309854346634,False,IT,Pharma,2017-02-15
KOTAKBANK,EICHERMOT,2.8025145982477824,0.5037455120143659,0.0001023810664188093,13.396243642719735,0.9744616024548888,21,2.708004308741784e-14,0.05280843410702764,False,Bank,Auto,2017-02-15
TCS,AXISBANK,5.503997967956129,0.24196992780206292,0.00022269949796516756,14.071831178778321,0.7565106167846974,23,-7.026008229066969e-14,0.049309990689005226,False,IT,Bank,2017-02-15
TCS,SUNPHARMA,4.460370342125291,0.38082957153411423,0.00034981897851856934,14.653033277300612,0.758496572457087,22,3.96038287408614e-14,0.04913624094236126,False,IT,Pharma,2017-02-15
ULTRACEMCO,SHREECEM,2.9738367536325425,0.5386107648975238,0.0003929007074823193,13.24888962300169,0.9613541526541246,24,-1.5061438281158208e-13,0.053393935881627774,True,Cement,Cement,2017-02-15
SHREECEM,INDUSINDBK,1.9268507117454425,1.0906476209867229,0.0004423854083497311,13.87728035846905,0.9795241161540401,22,-1.1059231132281956e-13,0.0696903448533674,False,Cement,Bank,2017-02-15
TCS,M&M,3.8837232923837433,0.48585821027868176,0.0004790718390699576,14.804746903195154,0.7041489121473099,19,4.5369939433835233e-14,0.05353772002990491,False,IT,Auto,2017-02-15
BPCL,BAJAJFINSV,-0.6597302834342164,0.7917925222385352,0.0006666701579987322,15.62282916519388,0.9728173058654422,15,-1.383843069530129e-14,0.08320928377597732,False,Energy,NBFC,2017-02-15
HCLTECH,CIPLA,2.658817857083375,0.5115642758464989,0.00022964999605898546,13.545897253532402,0.8034964235658593,21,3.302472933567529e-14,0.05757219248200013,False,IT,Pharma,2017-05-22
UPL,BPCL,0.9110695922319149,0.9081746863522644,0.000374659322063569,16.45394854073421,0.951195921061349,19,-1.994876926786789e-14,0.09261316798505648,False,Chemicals,Energy,2017-05-22
SHREECEM,HDFCBANK,-0.8968437238171725,1.640027958330287,0.00048332871400898935,12.795495430293244,0.9723965652199466,23,1.4732013375227103e-13,0.06710365860981986,False,Cement,Bank,2017-05-22
BPCL,BAJAJFINSV,0.1509644159118824,0.6834767683108554,0.0005410201342486912,14.180096584454725,0.976381535910778,16,-7.374465529705933e-15,0.06791348963938615,False,Energy,NBFC,2017-05-22
SHREECEM,INDUSINDBK,2.376583106043702,1.0243848440358947,0.0006334488294235483,14.701979356695146,0.9716131332166463,21,1.368241205226402e-13,0.06803573776604571,False,Cement,Bank,2017-05-22
EICHERMOT,KOTAKBANK,-4.494298689571468,1.8181793564457656,0.0006623491701117071,16.258114847361206,0.9551603212014063,14,-5.23038402712296e-15,0.10501979600342075,False,Auto,Bank,2017-05-22
COALINDIA,LT,2.0384639242687816,0.4785217153071549,0.0008631805817704744,14.831757333904823,0.7181847845838194,25,4.35853587201785e-14,0.05557055506355259,False,Metals & Mining,Infrastructure,2017-05-22
SHREECEM,BAJFINANCE,6.142763239827108,0.5073742232011352,0.0008999240737247218,15.658345755650249,0.9705685606203952,23,-7.518970748784129e-16,0.06925785606302302,False,Cement,NBFC,2017-05-22
HINDUNILVR,KOTAKBANK,2.3309694905977154,0.6597114313584809,0.0011806349843460685,15.122021431792668,0.9226744648138763,19,1.0931878565224425e-13,0.051369831509380216,False,Consumer,Bank,2017-05-22
HEROMOTOCO,ITC,1.7109336609518293,1.148584283057914,0.00124933681131019,20.573806391145656,0.7474837528243282,17,1.1527522029229669e-13,0.08947775326607155,False,Auto,Consumer,2017-05-22
SHREECEM,ULTRACEMCO,-2.5266932777045943,1.4829992446167903,4.080851729520445e-05,10.764265291519788,0.9563746953357541,34,8.097226592932809e-14,0.07555013722869515,True,Cement,Cement,2017-08-21
NTPC,POWERGRID,1.9449153706912397,0.5665993695384464,0.0001763793470454951,12.249515879544441,0.9189150296338804,24,-4.791111657908837e-14,0.04301997808672933,True,Utilities,Utilities,2017-08-21
KOTAKBANK,HDFCBANK,1.196734114423339,0.8516533183320066,0.00030377238510141197,15.556898848389986,0.9631442184725117,22,-6.681075445966498e-14,0.044954512341618305,True,Bank,Bank,2017-08-21
