pair,times_selected,avg_adf_p,avg_half_life,avg_corr,avg_beta,same_sector,sector_y,sector_x,trades,total_pnl,win_rate
M&M/ASIANPAINT,1,0.0002367202005520806,13.374695220884808,0.7181999131580185,0.29159465672462825,False,Auto,Consumer,1.0,-0.003347851590468187,0.0
SHREECEM/KOTAKBANK,1,0.00024885418306469043,14.500802502231348,0.9782060898211515,1.3519247648301689,False,Cement,Bank,1.0,-0.027243010837499762,0.0
SHREECEM/HEROMOTOCO,1,0.00026412716901848276,13.139109601159733,0.9512609679478831,1.2117475853805137,False,Cement,Auto,1.0,0.038793738879372236,1.0
TCS/INDUSINDBK,1,3.266348592597231e-05,16.917728827365057,0.8288643851931083,0.2809515076838281,False,IT,Bank,2.0,0.02081541850120272,0.5
TATAMOTORS/EICHERMOT,1,0.000333109399473852,15.131975056792307,0.9582978240308015,0.3992238038702006,True,Auto,Auto,1.0,-0.007667004756316293,0.0
SHREECEM/POWERGRID,1,0.0007812644956313863,17.083157362017918,0.8362063908463065,0.8589862047184766,False,Cement,Utilities,2.0,0.0016158961700268835,0.5
TATACONSUM/HDFC,1,0.00022075846448114185,13.774310640817811,0.8528494519689326,1.3302009925864418,False,Consumer,NBFC,2.0,0.02694878932920306,1.0
SHREECEM/BAJAJ-AUTO,1,0.0002327590906745635,15.76822034863207,0.8231269405527887,1.2478687528300005,False,Cement,Auto,1.0,-0.02591984001394243,0.0
SHREECEM/BAJFINANCE,1,0.0008999240737247218,15.658345755650249,0.9705685606203952,0.5073742232011352,False,Cement,NBFC,2.0,0.026009228193409027,0.5
TECHM/ICICIBANK,1,2.2789630979407644e-05,16.663275459739864,0.8825256829021596,0.8677544074722814,False,IT,Bank,1.0,-0.016652989276616778,0.0
TCS/POWERGRID,1,9.933739023859196e-06,14.253117684163406,0.8490235529988674,0.5746293032328251,False,IT,Utilities,2.0,-0.016620055134446428,0.0
TITAN/GRASIM,1,0.00022318827357565115,12.894687011936874,0.9116011745839652,1.3465492503787888,False,Consumer,Cement,2.0,-1.045471136277773e-05,0.5
TITAN/DIVISLAB,1,0.00013521864054647338,36.87333204129926,0.8128431947455459,0.9075025699063977,False,Consumer,Pharma,1.0,-0.043828504557516516,0.0
TECHM/INFY,1,0.00047692836503631514,18.157546204686284,0.9506138576177924,1.9465982350852378,True,IT,IT,2.0,0.023014468698618302,0.5
ULTRACEMCO/BAJAJ-AUTO,1,0.0002929968715092738,15.896162701608024,0.8306797695254623,1.0199611316367028,False,Cement,Auto,1.0,-0.014864255409330111,0.0
ULTRACEMCO/HDFCBANK,1,0.000570755436874395,13.640165128772548,0.9590371282756508,1.0954723318268207,False,Cement,Bank,2.0,0.044494023014746406,1.0
ULTRACEMCO/SBIN,1,0.0006506646123230148,17.97944296990445,0.8433090442014481,0.5619979625176745,False,Cement,Bank,1.0,0.036522382249469965,1.0
UPL/BPCL,1,0.000374659322063569,16.45394854073421,0.951195921061349,0.9081746863522644,False,Chemicals,Energy,1.0,-0.01905940848331738,0.0
UPL/ULTRACEMCO,1,0.0006108160880928903,17.766146786692374,0.91352402017805,1.4107230295698385,False,Chemicals,Cement,1.0,0.0024837768960213683,1.0
